iter	Passed	Remaining
0	138	138381
1	139	69587
2	140	46647
3	141	35183
4	142	28312
5	143	23734
6	144	20468
7	145	18023
8	146	16159
9	147	14646
10	149	13397
11	149	12343
12	150	11455
13	151	10688
14	152	10014
15	153	9433
16	154	8922
17	155	8467
18	156	8059
19	156	7688
20	157	7359
21	158	7055
22	159	6777
23	160	6525
24	161	6292
25	162	6075
26	163	5874
27	163	5686
28	164	5522
29	165	5359
30	166	5206
31	167	5062
32	168	4927
33	168	4799
34	169	4684
35	170	4572
36	172	4481
37	173	4384
38	174	4298
39	175	4207
40	176	4120
41	177	4039
42	177	3959
43	178	3884
44	179	3811
45	180	3746
46	181	3683
47	182	3620
48	183	3559
49	184	3501
50	185	3450
51	186	3401
52	187	3356
53	188	3309
54	190	3270
55	191	3223
56	192	3180
57	193	3136
58	194	3099
59	195	3057
60	196	3020
61	197	2982
62	198	2947
63	199	2916
64	200	2885
65	202	2859
66	203	2831
67	204	2799
68	205	2769
69	206	2740
70	207	2714
71	208	2688
72	209	2660
73	210	2632
74	211	2606
75	212	2581
76	213	2557
77	214	2534
78	215	2511
79	216	2493
80	218	2476
81	219	2453
82	219	2427
83	220	2405
84	221	2385
85	222	2365
86	223	2349
87	225	2332
88	226	2313
89	227	2296
90	228	2278
91	228	2260
92	230	2243
93	231	2229
94	232	2214
95	233	2199
96	234	2183
97	235	2166
98	236	2150
99	237	2135
100	238	2120
101	239	2106
102	240	2092
103	241	2078
104	242	2065
105	243	2052
106	244	2038
107	245	2025
108	247	2021
109	248	2008
110	249	1995
111	249	1981
112	251	1972
113	252	1960
114	253	1948
115	254	1935
116	254	1923
117	255	1912
118	257	1902
119	258	1893
120	259	1883
121	260	1873
122	261	1867
123	263	1858
124	263	1847
125	264	1837
126	265	1826
127	267	1820
128	268	1812
129	269	1802
130	270	1793
131	271	1784
132	272	1775
133	273	1766
134	274	1757
135	275	1751
136	276	1742
137	277	1734
138	278	1726
139	279	1717
140	280	1708
141	281	1701
142	282	1693
143	283	1686
144	284	1678
145	285	1671
146	286	1664
147	287	1657
148	288	1650
149	290	1646
150	291	1639
151	292	1631
152	293	1624
153	294	1619
154	295	1612
155	296	1606
156	297	1600
157	299	1593
158	300	1586
159	301	1580
160	301	1572
161	302	1567
162	304	1564
163	306	1560
164	307	1555
165	308	1549
166	309	1543
167	310	1537
168	311	1532
169	312	1526
170	313	1521
171	314	1515
172	315	1509
173	317	1505
174	318	1499
175	320	1498
176	321	1495
177	322	1490
178	323	1486
179	325	1481
180	326	1476
181	327	1471
182	328	1466
183	329	1460
184	330	1454
185	331	1448
186	331	1443
187	332	1437
188	334	1435
189	335	1431
190	336	1426
191	337	1420
192	338	1415
193	339	1410
194	340	1405
195	341	1400
196	342	1395
197	343	1390
198	344	1385
199	345	1380
200	346	1375
201	346	1370
202	347	1366
203	349	1364
204	351	1361
205	352	1356
206	352	1352
207	353	1347
208	354	1342
209	355	1337
210	356	1333
211	357	1329
212	358	1325
213	359	1320
214	360	1315
215	361	1311
216	362	1307
217	363	1304
218	364	1301
219	365	1297
220	366	1293
221	367	1289
222	368	1284
223	369	1280
224	370	1277
225	371	1273
226	372	1269
227	373	1265
228	374	1262
229	376	1259
230	377	1256
231	378	1254
232	379	1250
233	380	1246
234	381	1242
235	382	1239
236	383	1235
237	384	1232
238	385	1228
239	386	1224
240	387	1220
241	388	1217
242	389	1213
243	390	1209
244	391	1206
245	392	1203
246	393	1200
247	395	1198
248	395	1193
249	396	1190
250	397	1186
251	398	1183
252	399	1180
253	400	1176
254	401	1173
255	402	1170
256	403	1167
257	404	1164
258	405	1160
259	407	1159
260	408	1157
261	409	1153
262	410	1150
263	411	1147
264	412	1143
265	413	1140
266	414	1137
267	415	1133
268	416	1130
269	417	1127
270	418	1124
271	419	1121
272	420	1118
273	421	1115
274	422	1114
275	423	1111
276	424	1108
277	425	1105
278	426	1102
279	427	1099
280	428	1096
281	429	1093
282	430	1090
283	431	1088
284	432	1085
285	433	1082
286	434	1079
287	435	1077
288	437	1076
289	438	1073
290	439	1070
291	440	1067
292	441	1064
293	441	1061
294	442	1058
295	443	1055
296	444	1052
297	445	1049
298	446	1046
299	447	1043
300	448	1040
301	448	1037
302	449	1034
303	450	1031
304	452	1030
305	453	1028
306	454	1025
307	454	1022
308	455	1019
309	456	1016
310	457	1013
311	458	1010
312	459	1008
313	460	1005
314	461	1002
315	461	1000
316	462	997
317	463	994
318	464	991
319	465	989
320	466	987
321	467	984
322	468	981
323	469	978
324	470	976
325	470	973
326	471	971
327	472	968
328	473	966
329	474	963
330	475	961
331	476	959
332	477	957
333	479	955
334	480	953
335	482	952
336	483	950
337	483	947
338	485	945
339	486	943
340	487	942
341	488	940
342	489	938
343	490	936
344	491	933
345	492	931
346	493	929
347	495	927
348	496	925
349	497	923
350	498	921
351	499	919
352	500	917
353	501	915
354	502	912
355	503	910
356	504	908
357	505	906
358	508	907
359	509	905
360	510	903
361	511	902
362	512	899
363	514	898
364	515	896
365	516	894
366	518	894
367	520	893
368	522	893
369	525	895
370	527	894
371	528	891
372	529	889
373	530	887
374	531	885
375	532	883
376	533	881
377	534	879
378	535	877
379	536	875
380	537	873
381	538	871
382	540	870
383	541	868
384	542	866
385	543	864
386	544	862
387	545	861
388	546	859
389	547	856
390	548	854
391	549	852
392	550	850
393	552	849
394	552	846
395	554	845
396	556	844
397	557	842
398	558	841
399	559	839
400	560	837
401	561	835
402	563	834
403	564	832
404	565	830
405	566	828
406	567	827
407	569	826
408	570	824
409	571	822
410	572	820
411	573	818
412	575	817
413	576	815
414	577	814
415	578	812
416	579	810
417	580	808
418	581	806
419	582	804
420	584	803
421	585	801
422	586	800
423	587	798
424	589	797
425	590	795
426	591	794
427	592	792
428	593	790
429	595	788
430	596	786
431	597	785
432	598	784
433	599	782
434	600	780
435	601	778
436	603	777
437	604	775
438	605	773
439	606	771
440	607	770
441	608	768
442	610	767
443	611	766
444	613	764
445	614	763
446	615	761
447	616	759
448	617	758
449	618	756
450	619	754
451	621	752
452	622	751
453	622	749
454	623	747
455	624	745
456	625	743
457	627	742
458	628	740
459	629	739
460	630	737
461	631	735
462	632	733
463	633	731
464	634	729
